method,kappa,size,index,instance,rep,seed,runtime_s,iterations_completed,termination_reason,status
ALNS,3,10,60,N10_K3_M18_I60,0,6345575,42.42456126213074,101,iteration_limit,success
ALNS,3,10,60,N10_K3_M18_I60,1,8344000,40.90711259841919,101,iteration_limit,success
IGA,3,10,10,N10_K3_M18_I10,0,4708410,228.1106882095337,101,iteration_limit,success
IGA,3,10,10,N10_K3_M18_I10,1,7195532,181.2382652759552,101,iteration_limit,success
IGA,3,10,60,N10_K3_M18_I60,0,4708410,211.99152612686157,101,iteration_limit,success
IGA,3,10,60,N10_K3_M18_I60,1,7195532,225.53021454811096,101,iteration_limit,success
DABC,3,10,10,N10_K3_M18_I10,0,7213488,47.37175989151001,101,iteration_limit,success
DABC,3,10,10,N10_K3_M18_I10,1,4068738,47.46510171890259,101,iteration_limit,success
DABC,3,10,60,N10_K3_M18_I60,0,7213488,46.80598330497742,101,iteration_limit,success
DABC,3,10,60,N10_K3_M18_I60,1,4068738,46.956286907196045,101,iteration_limit,success
DIWO,3,10,10,N10_K3_M18_I10,0,9562004,115.67013812065125,101,iteration_limit,success
DIWO,3,10,10,N10_K3_M18_I10,1,2008813,104.4928548336029,101,iteration_limit,success
DIWO,3,10,60,N10_K3_M18_I60,0,9562004,102.27261066436768,101,iteration_limit,success
DIWO,3,10,60,N10_K3_M18_I60,1,2008813,105.18454504013062,101,iteration_limit,success
ALNS,3,20,10,N20_K3_M18_I10,0,6345575,428.46276450157166,101,iteration_limit,success
ALNS,3,20,10,N20_K3_M18_I10,1,8344000,364.98436403274536,101,iteration_limit,success
ALNS,3,20,60,N20_K3_M18_I60,0,6345575,358.9626245498657,101,iteration_limit,success
ALNS,3,20,60,N20_K3_M18_I60,1,8344000,403.68836641311646,101,iteration_limit,success
IGA,3,20,10,N20_K3_M18_I10,0,4708410,1420.2647104263306,101,iteration_limit,success
IGA,3,20,10,N20_K3_M18_I10,1,7195532,1455.2667446136475,101,iteration_limit,success
IGA,3,20,60,N20_K3_M18_I60,0,4708410,2024.3041999340057,101,iteration_limit,success
IGA,3,20,60,N20_K3_M18_I60,1,7195532,1482.6505029201508,101,iteration_limit,success
