method,kappa,size,mode,repeat,position,cost,duration_s
Co-HeT,2,10,greedy,3,57,7.01737117767334,0.048757314682006836
Co-HeT,2,10,greedy,3,58,8.082242012023926,0.048720598220825195
Co-HeT,2,10,greedy,3,59,9.973691940307617,0.04877638816833496
Co-HeT,2,10,greedy,3,60,6.597553730010986,0.048876047134399414
Co-HeT,2,10,greedy,3,61,8.813932418823242,0.048891305923461914
Co-HeT,2,10,greedy,3,62,7.48638391494751,0.048674821853637695
Co-HeT,2,10,greedy,3,63,8.634753227233887,0.048854827880859375
Co-HeT,2,10,greedy,3,64,7.579015254974365,0.04874300956726074
Co-HeT,2,10,greedy,3,65,8.452459335327148,0.04864358901977539
Co-HeT,2,10,greedy,3,66,6.909610271453857,0.04878807067871094
Co-HeT,2,10,greedy,3,67,7.598523139953613,0.048780202865600586
Co-HeT,2,10,greedy,3,68,8.43528938293457,0.048714399337768555
Co-HeT,2,10,greedy,3,69,8.058653831481934,0.05084991455078125
Co-HeT,2,10,greedy,3,70,8.40626335144043,0.048807382583618164
Co-HeT,2,10,greedy,3,71,7.819215774536133,0.0487217903137207
Co-HeT,2,10,greedy,3,72,8.464838981628418,0.04865598678588867
Co-HeT,2,10,greedy,3,73,7.203159809112549,0.048667192459106445
Co-HeT,2,10,greedy,3,74,9.003912925720215,0.04888558387756348
Co-HeT,2,10,greedy,3,75,9.304275512695312,0.048561811447143555
Co-HeT,2,10,greedy,3,76,8.099184036254883,0.04872465133666992
Co-HeT,2,10,greedy,3,77,6.683229446411133,0.048653602600097656
Co-HeT,2,10,greedy,3,78,8.476736068725586,0.04876518249511719
Co-HeT,2,10,greedy,3,79,8.52052116394043,0.04863595962524414
Co-HeT,2,10,greedy,3,80,6.760463714599609,0.04865837097167969
Co-HeT,2,10,greedy,3,81,8.07357406616211,0.05129575729370117
Co-HeT,2,10,greedy,3,82,10.114139556884766,0.04924654960632324
Co-HeT,2,10,greedy,3,83,8.250495910644531,0.049338340759277344
Co-HeT,2,10,greedy,3,84,7.4585723876953125,0.04882311820983887
Co-HeT,2,10,greedy,3,85,6.438791275024414,0.048743247985839844
Co-HeT,2,10,greedy,3,86,6.5346221923828125,0.04886603355407715
Co-HeT,2,10,greedy,3,87,6.2657694816589355,0.04884147644042969
Co-HeT,2,10,greedy,3,88,7.609087944030762,0.04869818687438965
Co-HeT,2,10,greedy,3,89,9.165348052978516,0.048810482025146484
Co-HeT,2,10,greedy,3,90,8.808236122131348,0.050930023193359375
Co-HeT,2,10,greedy,3,91,8.649065971374512,0.04900312423706055
Co-HeT,2,10,greedy,3,92,8.94989013671875,0.04880118370056152
Co-HeT,2,10,greedy,3,93,8.951728820800781,0.04897451400756836
Co-HeT,2,10,greedy,3,94,7.704159736633301,0.048981666564941406
Co-HeT,2,10,greedy,3,95,6.9858078956604,0.048735857009887695
Co-HeT,2,10,greedy,3,96,7.86267614364624,0.048639774322509766
Co-HeT,2,10,greedy,3,97,8.128748893737793,0.048668861389160156
Co-HeT,2,10,greedy,3,98,9.068883895874023,0.048662662506103516
Co-HeT,2,10,greedy,3,99,8.319079399108887,0.04866337776184082
Co-HeT,2,10,greedy,3,100,7.915316581726074,0.048657894134521484
Co-HeT,2,10,greedy,4,1,6.942248344421387,0.601388692855835
Co-HeT,2,10,greedy,4,2,8.249150276184082,0.04758119583129883
Co-HeT,2,10,greedy,4,3,6.8304948806762695,0.046783447265625
Co-HeT,2,10,greedy,4,4,10.096475601196289,0.04667091369628906
Co-HeT,2,10,greedy,4,5,7.93282413482666,0.0466921329498291
