candidate_source,method,mode,rep,kappa,size,instance_index,instance_name,objective,distance,tardiness,runtime_s,status,objective_validation,objective_consistency_error,instance_hash_source
Gurobi,Gurobi,,,2,10,37,N10_K2_M12_I37,7.96694529139773,11.41419234881227,4.51969823398319,1782.7330000400543,optimal,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,10,38,N10_K2_M12_I38,6.384607604305742,9.43609564315872,3.333119565452765,43.44600009918213,optimal,components_recomputed,8.881784197001252e-16,source_record
Gurobi,Gurobi,,,2,10,39,N10_K2_M12_I39,6.0830474090241005,8.173119042095275,3.992975775952925,5.541000127792358,optimal,components_recomputed,8.881784197001252e-16,source_record
Gurobi,Gurobi,,,2,10,40,N10_K2_M12_I40,5.433805187237567,7.474169886797871,3.3934404876772635,8.082000017166138,optimal,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,10,41,N10_K2_M12_I41,6.311586115154838,7.725389077417818,4.897783152891858,4.809999942779541,optimal,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,10,42,N10_K2_M12_I42,6.863572836324124,10.771831212547728,2.955314460100521,138.93300008773804,optimal,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,10,43,N10_K2_M12_I43,7.261182776840929,9.421324389775428,5.101041163906431,818.4900000095367,optimal,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,10,44,N10_K2_M12_I44,7.856313098165991,10.885742196981704,4.826883999350278,220.21099996566767,optimal,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,10,45,N10_K2_M12_I45,7.509342062024886,10.989539015530967,4.029145108518804,89.68500018119812,optimal,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,10,46,N10_K2_M12_I46,8.281543801663412,12.172641852405462,4.390445750921362,307.94599986076355,optimal,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,10,47,N10_K2_M12_I47,7.354606105187197,10.54974771273795,4.159464497636444,1528.3330001831057,optimal,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,10,48,N10_K2_M12_I48,9.881838504375189,11.983396857817402,7.7802801509329775,3600.003000020981,time_limit_feasible,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,10,49,N10_K2_M12_I49,7.466747167399108,10.29048993929246,4.6430043955057565,93.84299993515016,optimal,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,10,50,N10_K2_M12_I50,8.64306061426152,11.648877766438892,5.637243462084146,3600.0009999275208,time_limit_feasible,components_recomputed,1.7763568394002505e-15,source_record
Gurobi,Gurobi,,,2,10,51,N10_K2_M12_I51,9.062568463065078,11.38953848474938,6.735598441380778,73.95199990272522,optimal,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,10,52,N10_K2_M12_I52,8.699170623511005,11.241367706838286,6.156973540183722,679.5410001277924,optimal,components_recomputed,1.7763568394002505e-15,source_record
Gurobi,Gurobi,,,2,10,53,N10_K2_M12_I53,8.63475341862786,11.52961529715295,5.739891540102767,1253.106999874115,optimal,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,10,54,N10_K2_M12_I54,8.14814636156166,11.301200233046108,4.995092490077212,2023.8440001010893,optimal,components_recomputed,1.7763568394002505e-15,source_record
Gurobi,Gurobi,,,2,10,55,N10_K2_M12_I55,6.555525360677612,9.64006530359379,3.4709854177614337,12.759999990463257,optimal,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,10,56,N10_K2_M12_I56,7.064470579413024,8.748202423596412,5.380738735229636,126.6489999294281,optimal,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,10,57,N10_K2_M12_I57,7.611406596854268,9.856297626534545,5.36651556717399,251.49900007247925,optimal,components_recomputed,0.0,source_record
Gurobi,Gurobi,,,2,10,58,N10_K2_M12_I58,6.830494768424138,10.913622364668234,2.747367172180044,10.136000156402588,optimal,components_recomputed,0.0,source_record
