category,method,mode,kappa,size,objective_n,mean_objective,time_n,mean_time_s,time_source
Greedy,MVMoE,greedy,3,10,100,11.060111832618713,100,0.07637711048126221,rtx5090_median_of_five_run_means
Greedy,HDRL,greedy,3,10,100,10.814998202323913,100,0.05605632305145264,rtx5090_median_of_five_run_means
Greedy,TDRL,greedy,3,10,100,11.188267555236816,100,0.06957588195800782,rtx5090_median_of_five_run_means
Greedy,ECHO,greedy,3,10,100,11.149668998718262,100,0.05497875690460205,rtx5090_median_of_five_run_means
Greedy,Co-HeT,greedy,3,10,100,10.667949423789977,100,0.06374677181243897,rtx5090_median_of_five_run_means
Greedy,AM,greedy,3,20,100,15.749110240936279,100,0.1038955307006836,rtx5090_median_of_five_run_means
Greedy,MVMoE,greedy,3,20,100,15.685300312042237,100,0.1453022313117981,rtx5090_median_of_five_run_means
Greedy,HDRL,greedy,3,20,100,15.63190528869629,100,0.10578864574432373,rtx5090_median_of_five_run_means
Greedy,TDRL,greedy,3,20,100,17.468675146102907,100,0.13061129570007324,rtx5090_median_of_five_run_means
Greedy,ECHO,greedy,3,20,100,15.672562217712402,100,0.10305374145507812,rtx5090_median_of_five_run_means
Greedy,Co-HeT,greedy,3,20,100,14.676865844726562,100,0.12181107759475708,rtx5090_median_of_five_run_means
Greedy,AM,greedy,3,50,100,26.01411668777466,100,0.2544951343536377,rtx5090_median_of_five_run_means
Greedy,MVMoE,greedy,3,50,100,25.957708644866944,100,0.3517534947395325,rtx5090_median_of_five_run_means
Greedy,HDRL,greedy,3,50,100,26.515845012664794,100,0.259172101020813,rtx5090_median_of_five_run_means
Greedy,TDRL,greedy,3,50,100,26.387925643920898,100,0.31671957969665526,rtx5090_median_of_five_run_means
Greedy,ECHO,greedy,3,50,100,25.755405673980714,100,0.24539544105529784,rtx5090_median_of_five_run_means
Greedy,Co-HeT,greedy,3,50,100,23.241902542114257,100,0.2929838705062866,rtx5090_median_of_five_run_means
Greedy,AM,greedy,3,100,100,37.774889640808105,100,0.4937556219100952,rtx5090_median_of_five_run_means
Greedy,MVMoE,greedy,3,100,100,36.52308832168579,100,0.7007049250602723,rtx5090_median_of_five_run_means
Greedy,HDRL,greedy,3,100,100,40.78830696105957,100,0.5003866338729859,rtx5090_median_of_five_run_means
Greedy,TDRL,greedy,3,100,100,39.05318572998047,100,0.6269681000709534,rtx5090_median_of_five_run_means
Greedy,ECHO,greedy,3,100,100,37.527393131256105,100,0.48544749736785886,rtx5090_median_of_five_run_means
Greedy,Co-HeT,greedy,3,100,100,33.026230049133304,100,0.5779779934883118,rtx5090_median_of_five_run_means
Sample-1280,AM,sample1280,2,10,100,8.069437212944031,100,0.05424532413482666,rtx5090_median_of_five_run_means
Sample-1280,MVMoE,sample1280,2,10,100,8.091934466362,100,0.07140230655670166,rtx5090_median_of_five_run_means
Sample-1280,HDRL,sample1280,2,10,100,7.89404260635376,100,0.054936070442199704,rtx5090_median_of_five_run_means
Sample-1280,TDRL,sample1280,2,10,100,7.88245927810669,100,0.06301863431930542,rtx5090_median_of_five_run_means
Sample-1280,ECHO,sample1280,2,10,100,8.03676908493042,100,0.05438844442367554,rtx5090_median_of_five_run_means
Sample-1280,Co-HeT,sample1280,2,10,100,7.865160942077637,100,0.06319215059280396,rtx5090_median_of_five_run_means
Sample-1280,AM,sample1280,2,20,100,10.600119156837463,100,0.10131621122360229,rtx5090_median_of_five_run_means
Sample-1280,MVMoE,sample1280,2,20,100,10.603647165298462,100,0.1345664691925049,rtx5090_median_of_five_run_means
Sample-1280,HDRL,sample1280,2,20,100,10.367892074584962,100,0.10270374536514282,rtx5090_median_of_five_run_means
Sample-1280,TDRL,sample1280,2,20,100,10.732124991416931,100,0.11682253837585449,rtx5090_median_of_five_run_means
Sample-1280,ECHO,sample1280,2,20,100,10.541403098106384,100,0.10025532245635986,rtx5090_median_of_five_run_means
Sample-1280,Co-HeT,sample1280,2,20,100,10.164787011146545,100,0.11857455492019653,rtx5090_median_of_five_run_means
Sample-1280,AM,sample1280,2,50,100,16.253708152770997,100,0.24318019390106202,rtx5090_median_of_five_run_means
