kappa,size,instance_index,instance_name,bks_objective,bks_source_category,bks_source_method,bks_source_mode,bks_source_rep,candidate_count,co_best_count_1e-6,co_best_sources_json
2,10,11,N10_K2_M12_I11,7.321924920032926,Metaheuristic,DABC,,0,29,10,"[{""candidate_source"":""Metaheuristic"",""method"":""DABC"",""mode"":"""",""rep"":0,""objective"":7.321924920032926},{""candidate_source"":""Metaheuristic"",""method"":""DABC"",""mode"":"""",""rep"":1,""objective"":7.321924920032926},{""candidate_source"":""Metaheuristic"",""method"":""DABC"",""mode"":"""",""rep"":2,""objective"":7.321924920032926},{""candidate_source"":""Metaheuristic"",""method"":""DIWO"",""mode"":"""",""rep"":0,""objective"":7.321924920032926},{""candidate_source"":""Metaheuristic"",""method"":""DIWO"",""mode"":"""",""rep"":1,""objective"":7.321924920032926},{""candidate_source"":""Metaheuristic"",""method"":""DIWO"",""mode"":"""",""rep"":2,""objective"":7.321924920032926},{""candidate_source"":""Metaheuristic"",""method"":""DIWO"",""mode"":"""",""rep"":3,""objective"":7.321924920032926},{""candidate_source"":""Metaheuristic"",""method"":""IGA"",""mode"":"""",""rep"":3,""objective"":7.321924920032926},{""candidate_source"":""Metaheuristic"",""method"":""IGA"",""mode"":"""",""rep"":1,""objective"":7.321924920032927},{""candidate_source"":""Gurobi"",""method"":""Gurobi"",""mode"":"""",""rep"":"""",""objective"":7.321924920032936}]"
2,10,12,N10_K2_M12_I12,9.12831974029541,DRL,ECHO,sample1280,,29,9,"[{""candidate_source"":""DRL"",""method"":""ECHO"",""mode"":""sample1280"",""rep"":"""",""objective"":9.12831974029541},{""candidate_source"":""Metaheuristic"",""method"":""DABC"",""mode"":"""",""rep"":0,""objective"":9.128320034779474},{""candidate_source"":""Metaheuristic"",""method"":""DABC"",""mode"":"""",""rep"":1,""objective"":9.128320034779474},{""candidate_source"":""Metaheuristic"",""method"":""DABC"",""mode"":"""",""rep"":2,""objective"":9.128320034779474},{""candidate_source"":""Metaheuristic"",""method"":""DIWO"",""mode"":"""",""rep"":1,""objective"":9.128320034779474},{""candidate_source"":""Metaheuristic"",""method"":""IGA"",""mode"":"""",""rep"":0,""objective"":9.128320034779474},{""candidate_source"":""Metaheuristic"",""method"":""IGA"",""mode"":"""",""rep"":1,""objective"":9.128320034779474},{""candidate_source"":""Metaheuristic"",""method"":""IGA"",""mode"":"""",""rep"":2,""objective"":9.128320034779474},{""candidate_source"":""Gurobi"",""method"":""Gurobi"",""mode"":"""",""rep"":"""",""objective"":9.12832003477949}]"
2,10,13,N10_K2_M12_I13,6.553970241941481,Gurobi,Gurobi,,,29,9,"[{""candidate_source"":""Gurobi"",""method"":""Gurobi"",""mode"":"""",""rep"":"""",""objective"":6.553970241941481},{""candidate_source"":""Metaheuristic"",""method"":""DABC"",""mode"":"""",""rep"":2,""objective"":6.553970241941647},{""candidate_source"":""Metaheuristic"",""method"":""DIWO"",""mode"":"""",""rep"":0,""objective"":6.553970241941647},{""candidate_source"":""Metaheuristic"",""method"":""DIWO"",""mode"":"""",""rep"":1,""objective"":6.553970241941647},{""candidate_source"":""Metaheuristic"",""method"":""DIWO"",""mode"":"""",""rep"":2,""objective"":6.553970241941647},{""candidate_source"":""Metaheuristic"",""method"":""DIWO"",""mode"":"""",""rep"":3,""objective"":6.553970241941647},{""candidate_source"":""Metaheuristic"",""method"":""ALNS"",""mode"":"""",""rep"":0,""objective"":6.553970241941648},{""candidate_source"":""Metaheuristic"",""method"":""IGA"",""mode"":"""",""rep"":3,""objective"":6.553970241941648},{""candidate_source"":""Metaheuristic"",""method"":""IGA"",""mode"":"""",""rep"":0,""objective"":6.553970241941649}]"
2,10,14,N10_K2_M12_I14,8.243812170994733,Gurobi,Gurobi,,,29,6,"[{""candidate_source"":""Gurobi"",""method"":""Gurobi"",""mode"":"""",""rep"":"""",""objective"":8.243812170994733},{""candidate_source"":""Metaheuristic"",""method"":""DABC"",""mode"":"""",""rep"":1,""objective"":8.243812172183077},{""candidate_source"":""Metaheuristic"",""method"":""DABC"",""mode"":"""",""rep"":3,""objective"":8.243812172183077},{""candidate_source"":""Metaheuristic"",""method"":""DIWO"",""mode"":"""",""rep"":1,""objective"":8.243812172183077},{""candidate_source"":""Metaheuristic"",""method"":""DIWO"",""mode"":"""",""rep"":2,""objective"":8.243812172183077},{""candidate_source"":""Metaheuristic"",""method"":""IGA"",""mode"":"""",""rep"":3,""objective"":8.243812172183077}]"
2,10,15,N10_K2_M12_I15,6.425818700656358,Gurobi,Gurobi,,,29,11,"[{""candidate_source"":""Gurobi"",""method"":""Gurobi"",""mode"":"""",""rep"":"""",""objective"":6.425818700656358},{""candidate_source"":""Metaheuristic"",""method"":""DABC"",""mode"":"""",""rep"":0,""objective"":6.425818700656515},{""candidate_source"":""Metaheuristic"",""method"":""DABC"",""mode"":"""",""rep"":1,""objective"":6.425818700656515},{""candidate_source"":""Metaheuristic"",""method"":""DABC"",""mode"":"""",""rep"":3,""objective"":6.425818700656515},{""candidate_source"":""Metaheuristic"",""method"":""DIWO"",""mode"":"""",""rep"":0,""objective"":6.425818700656515},{""candidate_source"":""Metaheuristic"",""method"":""DIWO"",""mode"":"""",""rep"":1,""objective"":6.425818700656515},{""candidate_source"":""Metaheuristic"",""method"":""DIWO"",""mode"":"""",""rep"":2,""objective"":6.425818700656515},{""candidate_source"":""Metaheuristic"",""method"":""DIWO"",""mode"":"""",""rep"":3,""objective"":6.425818700656515},{""candidate_source"":""Metaheuristic"",""method"":""IGA"",""mode"":"""",""rep"":2,""objective"":6.425818700656515},{""candidate_source"":""Metaheuristic"",""method"":""IGA"",""mode"":"""",""rep"":1,""objective"":6.425818700656516},{""candidate_source"":""DRL"",""method"":""Co-HeT"",""mode"":""sample1280"",""rep"":"""",""objective"":6.425818920135498}]"
2,10,16,N10_K2_M12_I16,7.904840526408025,Metaheuristic,DABC,,2,29,8,"[{""candidate_source"":""Metaheuristic"",""method"":""DABC"",""mode"":"""",""rep"":2,""objective"":7.904840526408025},{""candidate_source"":""Metaheuristic"",""method"":""DABC"",""mode"":"""",""rep"":3,""objective"":7.904840526408025},{""candidate_source"":""Metaheuristic"",""method"":""DIWO"",""mode"":"""",""rep"":0,""objective"":7.904840526408025},{""candidate_source"":""Metaheuristic"",""method"":""IGA"",""mode"":"""",""rep"":1,""objective"":7.904840526408025},{""candidate_source"":""Metaheuristic"",""method"":""IGA"",""mode"":"""",""rep"":3,""objective"":7.904840526408025},{""candidate_source"":""Metaheuristic"",""method"":""DIWO"",""mode"":"""",""rep"":3,""objective"":7.904840526408026},{""candidate_source"":""Metaheuristic"",""method"":""IGA"",""mode"":"""",""rep"":0,""objective"":7.904840526408026},{""candidate_source"":""Gurobi"",""method"":""Gurobi"",""mode"":"""",""rep"":"""",""objective"":7.904840526408029}]"
2,10,17,N10_K2_M12_I17,7.617050744527349,Gurobi,Gurobi,,,29,15,"[{""candidate_source"":""Gurobi"",""method"":""Gurobi"",""mode"":"""",""rep"":"""",""objective"":7.617050744527349},{""candidate_source"":""Metaheuristic"",""method"":""ALNS"",""mode"":"""",""rep"":1,""objective"":7.617050744527361},{""candidate_source"":""Metaheuristic"",""method"":""ALNS"",""mode"":"""",""rep"":3,""objective"":7.617050744527361},{""candidate_source"":""Metaheuristic"",""method"":""DABC"",""mode"":"""",""rep"":0,""objective"":7.617050744527361},{""candidate_source"":""Metaheuristic"",""method"":""DABC"",""mode"":"""",""rep"":1,""objective"":7.617050744527361},{""candidate_source"":""Metaheuristic"",""method"":""DABC"",""mode"":"""",""rep"":2,""objective"":7.617050744527361},{""candidate_source"":""Metaheuristic"",""method"":""DABC"",""mode"":"""",""rep"":3,""objective"":7.617050744527361},{""candidate_source"":""Metaheuristic"",""method"":""DIWO"",""mode"":"""",""rep"":0,""objective"":7.617050744527361},{""candidate_source"":""Metaheuristic"",""method"":""DIWO"",""mode"":"""",""rep"":1,""objective"":7.617050744527361},{""candidate_source"":""Metaheuristic"",""method"":""DIWO"",""mode"":"""",""rep"":2,""objective"":7.617050744527361},{""candidate_source"":""Metaheuristic"",""method"":""DIWO"",""mode"":"""",""rep"":3,""objective"":7.617050744527361},{""candidate_source"":""Metaheuristic"",""method"":""IGA"",""mode"":"""",""rep"":0,""objective"":7.617050744527361},{""candidate_source"":""Metaheuristic"",""method"":""IGA"",""mode"":"""",""rep"":1,""objective"":7.617050744527361},{""candidate_source"":""Metaheuristic"",""method"":""IGA"",""mode"":"""",""rep"":2,""objective"":7.617050744527361},{""candidate_source"":""Metaheuristic"",""method"":""IGA"",""mode"":"""",""rep"":3,""objective"":7.617050744527361}]"
2,10,18,N10_K2_M12_I18,7.520195076512028,Gurobi,Gurobi,,,29,15,"[{""candidate_source"":""Gurobi"",""method"":""Gurobi"",""mode"":"""",""rep"":"""",""objective"":7.520195076512028},{""candidate_source"":""Metaheuristic"",""method"":""ALNS"",""mode"":"""",""rep"":1,""objective"":7.520195076512048},{""candidate_source"":""Metaheuristic"",""method"":""ALNS"",""mode"":"""",""rep"":2,""objective"":7.520195076512048},{""candidate_source"":""Metaheuristic"",""method"":""DABC"",""mode"":"""",""rep"":0,""objective"":7.520195076512048},{""candidate_source"":""Metaheuristic"",""method"":""DABC"",""mode"":"""",""rep"":1,""objective"":7.520195076512048},{""candidate_source"":""Metaheuristic"",""method"":""DABC"",""mode"":"""",""rep"":2,""objective"":7.520195076512048},{""candidate_source"":""Metaheuristic"",""method"":""DABC"",""mode"":"""",""rep"":3,""objective"":7.520195076512048},{""candidate_source"":""Metaheuristic"",""method"":""DIWO"",""mode"":"""",""rep"":0,""objective"":7.520195076512048},{""candidate_source"":""Metaheuristic"",""method"":""DIWO"",""mode"":"""",""rep"":1,""objective"":7.520195076512048},{""candidate_source"":""Metaheuristic"",""method"":""DIWO"",""mode"":"""",""rep"":2,""objective"":7.520195076512048},{""candidate_source"":""Metaheuristic"",""method"":""DIWO"",""mode"":"""",""rep"":3,""objective"":7.520195076512048},{""candidate_source"":""Metaheuristic"",""method"":""IGA"",""mode"":"""",""rep"":0,""objective"":7.520195076512048},{""candidate_source"":""Metaheuristic"",""method"":""IGA"",""mode"":"""",""rep"":1,""objective"":7.520195076512048},{""candidate_source"":""Metaheuristic"",""method"":""IGA"",""mode"":"""",""rep"":2,""objective"":7.520195076512048},{""candidate_source"":""Metaheuristic"",""method"":""IGA"",""mode"":"""",""rep"":3,""objective"":7.520195076512048}]"
2,10,19,N10_K2_M12_I19,9.331056409528385,Gurobi,Gurobi,,,29,14,"[{""candidate_source"":""Gurobi"",""method"":""Gurobi"",""mode"":"""",""rep"":"""",""objective"":9.331056409528385},{""candidate_source"":""Metaheuristic"",""method"":""ALNS"",""mode"":"""",""rep"":0,""objective"":9.331056645070484},{""candidate_source"":""Metaheuristic"",""method"":""ALNS"",""mode"":"""",""rep"":1,""objective"":9.331056645070484},{""candidate_source"":""Metaheuristic"",""method"":""ALNS"",""mode"":"""",""rep"":3,""objective"":9.331056645070484},{""candidate_source"":""Metaheuristic"",""method"":""DABC"",""mode"":"""",""rep"":0,""objective"":9.331056645070484},{""candidate_source"":""Metaheuristic"",""method"":""DABC"",""mode"":"""",""rep"":1,""objective"":9.331056645070484},{""candidate_source"":""Metaheuristic"",""method"":""DABC"",""mode"":"""",""rep"":3,""objective"":9.331056645070484},{""candidate_source"":""Metaheuristic"",""method"":""DIWO"",""mode"":"""",""rep"":0,""objective"":9.331056645070484},{""candidate_source"":""Metaheuristic"",""method"":""DIWO"",""mode"":"""",""rep"":1,""objective"":9.331056645070484},{""candidate_source"":""Metaheuristic"",""method"":""DIWO"",""mode"":"""",""rep"":2,""objective"":9.331056645070484},{""candidate_source"":""Metaheuristic"",""method"":""IGA"",""mode"":"""",""rep"":0,""objective"":9.331056645070484},{""candidate_source"":""Metaheuristic"",""method"":""IGA"",""mode"":"""",""rep"":1,""objective"":9.331056645070484},{""candidate_source"":""Metaheuristic"",""method"":""IGA"",""mode"":"""",""rep"":2,""objective"":9.331056645070484},{""candidate_source"":""Metaheuristic"",""method"":""IGA"",""mode"":"""",""rep"":3,""objective"":9.331056645070484}]"
2,10,20,N10_K2_M12_I20,8.349114158560813,Gurobi,Gurobi,,,29,6,"[{""candidate_source"":""Gurobi"",""method"":""Gurobi"",""mode"":"""",""rep"":"""",""objective"":8.349114158560813},{""candidate_source"":""Metaheuristic"",""method"":""DABC"",""mode"":"""",""rep"":2,""objective"":8.349114158560816},{""candidate_source"":""Metaheuristic"",""method"":""DIWO"",""mode"":"""",""rep"":2,""objective"":8.349114158560816},{""candidate_source"":""Metaheuristic"",""method"":""DIWO"",""mode"":"""",""rep"":3,""objective"":8.349114158560816},{""candidate_source"":""Metaheuristic"",""method"":""IGA"",""mode"":"""",""rep"":1,""objective"":8.349114158560816},{""candidate_source"":""Metaheuristic"",""method"":""IGA"",""mode"":"""",""rep"":2,""objective"":8.349114158560816}]"
