job_id,attempt,status,kappa,size,index,instance,method,rep,seed,objective,distance,tardiness,runtime_s,iterations_completed,termination_reason,error
k2_n10_i002_diwo_r002,1,success,2,10,2,N10_K2_M12_I2,DIWO,2,4007238,9.776842123967999,12.660816313504595,6.8928679344314014,244.0451955795288,101,iteration_limit,
k2_n10_i002_diwo_r003,1,success,2,10,2,N10_K2_M12_I2,DIWO,3,1310872,9.7417788008536,12.268626725711954,7.214930875995248,186.77564144134521,101,iteration_limit,
k2_n10_i003_alns_r000,1,success,2,10,3,N10_K2_M12_I3,ALNS,0,6345575,8.128345316827128,10.973182116188188,5.2835085174660685,6.956912517547607,101,iteration_limit,
k2_n10_i003_alns_r001,1,success,2,10,3,N10_K2_M12_I3,ALNS,1,8344000,8.308449955036629,10.82306738457576,5.793832525497498,7.171067714691162,101,iteration_limit,
k2_n10_i003_alns_r002,1,success,2,10,3,N10_K2_M12_I3,ALNS,2,790809,8.130045154435656,11.529954261407477,4.730136047463837,6.937605381011963,101,iteration_limit,
k2_n10_i003_alns_r003,1,success,2,10,3,N10_K2_M12_I3,ALNS,3,7646059,8.121420800530126,11.529954261407477,4.7128873396527755,6.872132778167725,101,iteration_limit,
k2_n10_i003_iga_r000,1,success,2,10,3,N10_K2_M12_I3,IGA,0,4708410,8.121420800530126,11.529954261407477,4.7128873396527755,37.32500243186951,101,iteration_limit,
k2_n10_i003_iga_r001,1,success,2,10,3,N10_K2_M12_I3,IGA,1,7195532,8.121420800530128,11.529954261407479,4.7128873396527755,19.83400583267212,101,iteration_limit,
k2_n10_i003_iga_r002,1,success,2,10,3,N10_K2_M12_I3,IGA,2,9193957,8.121420800530126,11.529954261407477,4.7128873396527755,23.234528064727783,101,iteration_limit,
k2_n10_i003_iga_r003,1,success,2,10,3,N10_K2_M12_I3,IGA,3,6497591,8.143859336063521,11.574831332474266,4.7128873396527755,23.753729104995728,101,iteration_limit,
k2_n10_i003_dabc_r000,1,success,2,10,3,N10_K2_M12_I3,DABC,0,7213488,8.121420800530126,11.529954261407477,4.7128873396527755,109.27536177635193,101,iteration_limit,
k2_n10_i003_dabc_r001,1,success,2,10,3,N10_K2_M12_I3,DABC,1,4068738,8.121420800530126,11.529954261407477,4.7128873396527755,50.14044213294983,101,iteration_limit,
k2_n10_i003_dabc_r002,1,success,2,10,3,N10_K2_M12_I3,DABC,2,1699035,8.121420800530126,11.529954261407477,4.7128873396527755,53.119189977645874,101,iteration_limit,
k2_n10_i003_dabc_r003,1,success,2,10,3,N10_K2_M12_I3,DABC,3,4145844,8.121420800530126,11.529954261407477,4.7128873396527755,77.97407817840576,101,iteration_limit,
k2_n10_i003_diwo_r000,1,success,2,10,3,N10_K2_M12_I3,DIWO,0,9562004,8.121420800530124,11.529954261407475,4.7128873396527755,209.61862874031067,101,iteration_limit,
k2_n10_i003_diwo_r001,1,success,2,10,3,N10_K2_M12_I3,DIWO,1,2008813,8.121420800530124,11.529954261407475,4.7128873396527755,259.00258564949036,101,iteration_limit,
k2_n10_i003_diwo_r002,1,success,2,10,3,N10_K2_M12_I3,DIWO,2,4007238,8.121420800530126,11.529954261407477,4.7128873396527755,238.3499174118042,101,iteration_limit,
