method,kappa,size,mode,robot_num_list,sample_width,training_seed,eval_seed,instance_index,instance_id,instance_filename,objective,distance,tardiness,replay_objective,objective_replay_error,model_objective,model_replay_residual,model_replay_tolerance,feasible,status,tour
Co-HeT,3,50,sample1280,"[4,6,8]",1280,1234,20260827,39,I39,N50_K3_M18_I39.xlsx,21.242345809936523,37.92919921875,4.555493354797363,21.242345809936523,0.0,21.24234390258789,1.9073486328125e-06,7.62939453125e-06,True,SUCCEEDED,"[40,3,6,15,49,0,4,17,41,2,8,16,33,1,7,11,42,0,9,13,0,2,8,12,23,1,5,10,44,0,9,17,10,3,6,15,9,1,7,11,47,2,4,16,39,1,7,11,4,3,6,15,32,3,6,15,31,0,9,13,3,0,9,17,21,3,8,12,11,2,4,16,45,1,7,11,19,3,8,12,13,0,6,15,34,2,4,16,24,3,8,12,17,1,7,11,15,1,7,11,48,2,4,16,2,3,8,12,28,0,6,15,7,3,8,12,43,1,7,11,37,0,6,15,35,2,4,16,25,1,7,11,30,2,4,16,27,0,5,14,20,1,7,11,36,2,4,13,8,3,8,12,22,0,5,10,5,2,4,13,6,0,5,10,38,3,8,12,16,3,8,12,12,0,5,10,1,2,4,16,18,3,8,15,29,3,6,15,14,2,4,16,26,3,6,15,46,2,9,17]"
Co-HeT,3,50,sample1280,"[4,6,8]",1280,1234,20260827,40,I40,N50_K3_M18_I40.xlsx,25.54572868347168,43.53294372558594,7.55851411819458,25.54572868347168,0.0,25.54572868347168,0.0,7.62939453125e-06,True,SUCCEEDED,"[2,0,6,16,16,2,5,14,35,1,9,17,28,3,4,15,36,0,8,12,19,1,9,17,48,3,7,11,30,2,5,10,41,0,6,14,4,3,4,13,26,3,7,15,18,0,9,17,49,3,4,13,20,1,6,14,29,2,5,10,5,3,8,12,32,0,9,17,11,1,6,14,37,2,5,10,12,0,9,17,25,3,8,12,6,3,8,16,17,1,6,14,7,2,5,10,22,3,8,16,27,1,6,14,42,2,7,15,24,2,7,15,23,0,9,17,34,1,6,14,40,3,8,16,14,0,9,17,44,1,4,13,33,0,9,17,9,1,4,13,31,2,7,15,47,1,4,13,45,0,9,17,43,3,8,16,13,3,8,16,1,2,7,15,46,2,7,15,8,1,4,13,39,1,4,13,21,0,9,12,0,2,5,10,15,0,4,17,38,2,5,10,10,1,7,15,3,2,6,14]"
Co-HeT,3,50,sample1280,"[4,6,8]",1280,1234,20260827,41,I41,N50_K3_M18_I41.xlsx,21.542394638061523,34.84227752685547,8.242512702941895,21.542394638061523,0.0,21.542394638061523,0.0,7.62939453125e-06,True,SUCCEEDED,"[48,1,6,17,38,0,7,13,0,3,8,15,11,2,9,12,40,3,5,16,4,1,6,17,47,0,7,13,45,2,9,10,20,3,5,14,31,2,8,15,2,0,7,12,29,1,6,17,22,2,9,10,25,0,7,13,39,3,5,14,34,3,8,16,49,1,6,17,46,1,6,17,33,2,9,10,5,3,5,14,7,0,7,13,30,3,5,14,8,2,9,10,27,0,7,13,19,1,6,17,9,2,9,10,24,2,4,15,35,3,5,14,13,0,7,12,14,2,9,10,17,1,6,17,43,0,7,13,41,3,5,14,36,2,9,10,28,1,6,17,18,1,6,17,42,2,9,10,37,3,5,14,21,2,9,10,15,3,5,14,23,3,5,14,32,0,7,12,3,0,7,12,44,0,7,12,26,2,8,16,1,0,7,12,10,2,4,15,12,2,4,11,16,0,7,12,6,0,8,15]"
Co-HeT,3,50,sample1280,"[4,6,8]",1280,1234,20260827,42,I42,N50_K3_M18_I42.xlsx,19.8078670501709,34.3302116394043,5.285523414611816,19.8078670501709,0.0,19.807865142822266,1.9073486328125e-06,7.62939453125e-06,True,SUCCEEDED,"[49,1,7,14,22,2,6,12,4,1,5,11,40,3,4,10,45,0,9,15,20,3,4,17,44,0,8,13,6,0,9,15,5,2,6,12,38,1,7,14,13,3,4,10,34,1,7,14,36,3,4,17,7,1,7,14,42,0,9,13,15,2,6,12,46,0,8,16,21,0,8,16,10,2,6,12,32,3,4,17,1,2,6,12,17,1,7,14,8,0,8,16,48,0,5,11,26,3,4,17,9,1,7,14,24,2,6,12,39,3,4,17,11,1,7,14,29,2,6,12,14,3,4,10,25,0,5,11,37,3,4,10,0,0,9,13,33,2,6,12,3,0,9,15,47,1,7,14,30,2,6,12,27,3,4,10,18,0,9,13,23,3,4,10,19,0,9,13,31,0,9,13,2,3,4,10,43,1,7,14,28,2,6,17,16,0,9,13,12,3,4,10,41,3,4,10,35,3,4,15]"
Co-HeT,3,50,sample1280,"[4,6,8]",1280,1234,20260827,43,I43,N50_K3_M18_I43.xlsx,21.347341537475582,37.64760971069336,5.047071933746338,21.347341537475582,0.0,21.347339630126957,1.9073486328125e-06,7.62939453125e-06,True,SUCCEEDED,"[18,0,8,11,23,3,4,14,39,2,5,15,0,1,9,13,9,1,7,16,7,2,5,10,17,3,6,12,25,0,8,11,40,2,5,15,38,1,9,13,8,3,6,12,15,1,4,14,10,1,9,13,47,0,8,11,3,3,6,12,20,2,5,15,22,3,6,10,46,0,8,11,6,1,4,14,16,2,5,15,37,1,4,13,29,3,6,10,43,0,8,11,12,1,4,14,32,1,4,14,44,2,5,15,28,3,6,10,1,0,8,11,26,2,5,15,41,1,4,14,24,2,5,15,5,0,8,11,13,3,6,10,4,2,5,12,14,3,6,10,19,0,8,11,21,0,8,11,27,1,4,14,31,3,6,10,35,1,4,15,45,2,5,12,49,0,8,11,30,3,6,10,42,1,4,15,48,0,8,11,2,2,9,12,11,2,9,12,33,3,6,10,34,0,8,11,36,3,6,10]"
Co-HeT,3,50,sample1280,"[4,6,8]",1280,1234,20260827,44,I44,N50_K3_M18_I44.xlsx,22.662071228027344,38.859657287597656,6.464486122131348,22.662071228027344,0.0,22.662071228027344,0.0,7.62939453125e-06,True,SUCCEEDED,"[49,0,4,13,39,3,7,17,9,2,8,15,38,3,7,16,24,1,6,10,17,2,8,10,42,3,4,11,4,1,9,12,13,0,5,13,23,2,6,14,32,1,9,12,27,1,9,17,11,2,8,15,3,1,9,17,5,0,5,13,28,0,5,13,12,3,4,11,31,1,9,17,46,3,4,11,0,1,9,10,8,2,8,15,7,2,8,15,20,3,4,11,15,1,6,14,1,2,8,15,37,1,6,14,40,3,4,11,30,2,8,15,18,0,5,13,41,0,5,13,34,0,5,13,36,3,7,16,47,1,6,14,6,0,5,12,44,3,7,17,16,0,5,12,19,1,6,14,29,0,5,12,48,3,7,17,33,1,6,14,43,2,4,11,10,1,6,14,25,2,4,11,21,1,6,14,35,1,6,14,26,2,9,10,22,2,9,10,2,2,9,10,14,2,9,10,45,2,9,10]"
Co-HeT,3,50,sample1280,"[4,6,8]",1280,1234,20260827,45,I45,N50_K3_M18_I45.xlsx,20.932537078857425,35.24322891235352,6.6218438148498535,20.932537078857425,0.0,20.93253517150879,1.9073486328125e-06,7.62939453125e-06,True,SUCCEEDED,"[3,0,4,11,23,2,5,12,25,3,8,10,18,1,7,17,24,3,6,14,19,1,7,16,36,2,5,12,6,0,4,11,30,3,8,10,0,1,7,16,28,3,9,13,48,2,6,14,4,2,5,12,5,0,4,11,22,3,9,13,17,0,4,11,13,1,7,16,27,3,9,13,29,0,4,17,49,0,4,17,45,3,9,13,39,2,5,12,26,1,7,16,38,2,6,14,37,3,9,13,40,1,7,16,21,2,8,10,16,0,4,17,41,2,8,10,31,3,9,13,47,1,7,16,12,1,7,16,32,3,9,13,46,0,4,17,43,2,8,10,44,0,4,17,11,0,4,17,42,3,9,13,1,2,8,10,8,2,8,10,34,3,9,13,14,0,4,17,15,3,9,13,20,2,8,10,35,0,4,17,9,0,6,14,7,1,7,16,33,1,7,11,10,1,7,11,2,1,5,12]"
Co-HeT,3,50,sample1280,"[4,6,8]",1280,1234,20260827,46,I46,N50_K3_M18_I46.xlsx,21.53159523010254,38.75080108642578,4.312389373779297,21.53159523010254,0.0,21.53159523010254,0.0,7.62939453125e-06,True,SUCCEEDED,"[15,2,9,14,37,0,5,15,17,3,8,17,47,0,5,13,11,1,4,11,21,1,6,16,35,3,8,17,25,2,7,12,34,1,4,11,44,0,5,13,9,1,4,16,29,2,7,12,12,0,5,13,5,2,7,12,24,0,9,15,32,3,8,17,45,1,4,16,41,3,8,17,49,1,4,16,46,3,8,17,3,1,6,14,6,0,9,15,30,3,8,17,2,2,7,12,42,0,5,13,7,1,6,14,48,0,5,13,39,2,7,12,40,1,4,16,27,3,8,17,19,1,6,14,43,3,8,17,31,0,5,13,20,2,7,12,28,0,5,13,13,2,7,12,22,2,7,12,1,1,6,14,18,3,8,17,23,0,5,13,33,2,7,12,36,1,6,14,38,0,5,13,16,1,6,14,0,0,5,13,26,2,7,11,14,1,6,14,10,1,6,10,8,2,4,16,4,2,4,16]"
Co-HeT,3,50,sample1280,"[4,6,8]",1280,1234,20260827,47,I47,N50_K3_M18_I47.xlsx,22.475156784057617,39.89432144165039,5.055992126464844,22.475156784057617,0.0,22.47515869140625,1.9073486328125e-06,7.62939453125e-06,True,SUCCEEDED,"[5,1,6,14,49,0,8,10,20,2,9,16,33,3,5,15,43,0,4,13,22,1,6,17,11,3,8,10,23,2,7,11,37,1,6,14,30,3,5,15,47,2,7,12,35,0,4,13,21,3,8,10,45,0,5,15,34,2,7,11,27,2,9,12,2,1,6,17,4,3,8,10,7,2,7,11,38,2,7,11,15,1,6,17,17,0,5,15,0,1,6,14,39,3,8,10,44,3,8,10,16,0,4,13,48,2,7,11,25,1,6,14,31,2,7,11,13,0,4,13,29,3,8,10,18,2,7,11,36,1,6,14,14,3,8,10,40,0,4,15,8,0,4,13,41,2,7,11,28,2,7,12,19,0,4,13,46,3,8,10,12,2,7,11,42,1,9,16,10,1,9,16,24,1,9,16,6,3,8,10,32,2,9,16,1,3,8,10,9,3,5,15,26,1,7,12,3,3,8,10]"
Co-HeT,3,50,sample1280,"[4,6,8]",1280,1234,20260827,48,I48,N50_K3_M18_I48.xlsx,21.855194091796875,37.50559997558594,6.20478630065918,21.855194091796875,0.0,21.855194091796875,0.0,7.62939453125e-06,True,SUCCEEDED,"[25,1,5,11,44,0,6,14,36,2,7,12,13,3,9,17,45,3,4,16,47,2,7,15,33,3,8,10,1,1,9,13,40,0,6,14,15,1,5,11,35,3,8,10,34,2,7,15,22,3,9,13,38,1,5,11,32,1,5,12,12,0,6,14,31,0,6,14,48,2,7,15,9,3,9,13,4,3,9,11,28,0,6,14,29,2,7,15,24,1,5,12,27,2,7,15,23,3,9,11,49,0,6,14,46,3,9,11,37,1,5,12,3,0,6,14,41,2,7,15,11,3,9,13,43,1,5,12,20,0,6,14,2,2,7,15,17,2,7,15,0,3,9,13,18,1,5,12,7,2,7,15,21,0,8,10,16,0,8,10,8,3,9,13,30,2,7,15,6,0,8,10,14,3,9,13,5,3,9,13,39,0,4,17,26,2,7,15,42,2,7,15,10,2,7,15,19,2,7,15]"
