dataset_id,method,size,instance,instance_index,training_seed,eval_seed,decode,objective,travel_time,tardiness,travel_distance,runtime_s,objective_replay_error,peak_gpu_memory_bytes,status
real_world_test100_seed20260906,cohet,10,RW_N10_K3_M16_I27.xlsx,27,1234,20260825,sample-1280,1501.666666666667,2314.166666666667,689.1666666666667,2555.0,0.07177201402373612,0.0,160244224,ok
real_world_test100_seed20260906,cohet,10,RW_N10_K3_M16_I28.xlsx,28,1234,20260825,sample-1280,1419.2500000000002,2427.5000000000005,411.0000000000001,2675.0,0.07183754304423928,2.2737367544323206e-13,160244224,ok
real_world_test100_seed20260906,cohet,10,RW_N10_K3_M16_I29.xlsx,29,1234,20260825,sample-1280,1881.2500000000002,2852.5000000000005,910.0000000000001,3130.0,0.07184561295434833,2.2737367544323206e-13,160244224,ok
real_world_test100_seed20260906,cohet,10,RW_N10_K3_M16_I30.xlsx,30,1234,20260825,sample-1280,1083.0833333333333,1962.5,203.66666666666663,2180.0,0.07172192400321364,2.2737367544323206e-13,160244224,ok
real_world_test100_seed20260906,cohet,10,RW_N10_K3_M16_I31.xlsx,31,1234,20260825,sample-1280,1332.25,2239.1666666666665,425.3333333333334,2450.0,0.0718747730134055,0.0,160244224,ok
real_world_test100_seed20260906,cohet,10,RW_N10_K3_M16_I32.xlsx,32,1234,20260825,sample-1280,1831.0000000000005,2677.5000000000005,984.5000000000003,2945.0,0.07166876492556185,0.0,160244224,ok
real_world_test100_seed20260906,cohet,10,RW_N10_K3_M16_I33.xlsx,33,1234,20260825,sample-1280,1729.916666666667,2678.333333333334,781.5,2930.0,0.07186234300024807,2.2737367544323206e-13,160244224,ok
real_world_test100_seed20260906,cohet,10,RW_N10_K3_M16_I34.xlsx,34,1234,20260825,sample-1280,1186.4166666666667,2295.0,77.83333333333348,2545.0,0.07172940496820956,0.0,160244224,ok
real_world_test100_seed20260906,cohet,10,RW_N10_K3_M16_I35.xlsx,35,1234,20260825,sample-1280,1384.5833333333333,2235.0,534.1666666666666,2415.0,0.07191690208856016,0.0,160244224,ok
real_world_test100_seed20260906,cohet,10,RW_N10_K3_M16_I36.xlsx,36,1234,20260825,sample-1280,1485.3333333333335,2490.8333333333335,479.83333333333354,2765.0,0.07174373499583453,0.0,160244224,ok
real_world_test100_seed20260906,cohet,10,RW_N10_K3_M16_I37.xlsx,37,1234,20260825,sample-1280,1386.6666666666667,2419.166666666667,354.16666666666663,2695.0,0.07170181500259787,2.2737367544323206e-13,160244224,ok
real_world_test100_seed20260906,cohet,10,RW_N10_K3_M16_I38.xlsx,38,1234,20260825,sample-1280,1465.166666666667,2246.666666666667,683.6666666666669,2500.0,0.07185232290066779,0.0,160244224,ok
real_world_test100_seed20260906,cohet,10,RW_N10_K3_M16_I39.xlsx,39,1234,20260825,sample-1280,1635.5000000000002,2483.3333333333335,787.6666666666671,2770.0,0.07168150506913662,0.0,160244224,ok
real_world_test100_seed20260906,cohet,10,RW_N10_K3_M16_I40.xlsx,40,1234,20260825,sample-1280,1460.0000000000002,2530.8333333333335,389.16666666666686,2785.0,0.0723333889618516,0.0,160244224,ok
real_world_test100_seed20260906,cohet,10,RW_N10_K3_M16_I41.xlsx,41,1234,20260825,sample-1280,1396.5833333333335,2354.166666666667,439.0000000000001,2615.0,0.0719697120366618,0.0,160244224,ok
real_world_test100_seed20260906,cohet,10,RW_N10_K3_M16_I42.xlsx,42,1234,20260825,sample-1280,1614.8333333333335,2590.0,639.6666666666667,2820.0,0.07180396397598088,0.0,160244224,ok
real_world_test100_seed20260906,cohet,10,RW_N10_K3_M16_I43.xlsx,43,1234,20260825,sample-1280,1228.75,1974.1666666666667,483.3333333333335,2195.0,0.0717781939310953,2.2737367544323206e-13,160244224,ok
real_world_test100_seed20260906,cohet,10,RW_N10_K3_M16_I44.xlsx,44,1234,20260825,sample-1280,1748.3333333333335,2454.166666666667,1042.5,2705.0,0.07226288900710642,0.0,160244224,ok
