category,method,mode,kappa,size,instance_index,instance_name,repetition_n,mean_objective,bks_objective,rpd
MILP,Gurobi,,2,10,58,N10_K2_M12_I58,1,6.830494768424138,6.830494768424138,0.0
MILP,Gurobi,,2,10,59,N10_K2_M12_I59,1,7.361499090709804,7.361499090709804,0.0
MILP,Gurobi,,2,10,60,N10_K2_M12_I60,1,7.6489075272057345,7.6489075272057345,0.0
MILP,Gurobi,,2,10,61,N10_K2_M12_I61,1,9.3360349714663,9.3360349714663,0.0
MILP,Gurobi,,2,10,62,N10_K2_M12_I62,1,6.717050976238757,6.717050976238757,0.0
MILP,Gurobi,,2,10,63,N10_K2_M12_I63,1,5.509180434298094,5.509180434298094,0.0
MILP,Gurobi,,2,10,64,N10_K2_M12_I64,1,8.75999720827431,8.75999720827431,0.0
MILP,Gurobi,,2,10,65,N10_K2_M12_I65,1,7.890724685351836,7.890724685351836,0.0
MILP,Gurobi,,2,10,66,N10_K2_M12_I66,1,8.352304823520122,8.352304458618164,4.368877587581414e-06
MILP,Gurobi,,2,10,67,N10_K2_M12_I67,1,6.98664314953335,6.986643149533346,6.356260085785609e-14
MILP,Gurobi,,2,10,68,N10_K2_M12_I68,1,7.637069048033927,7.637069048033927,0.0
MILP,Gurobi,,2,10,69,N10_K2_M12_I69,1,9.112790183297935,9.112790183297935,0.0
MILP,Gurobi,,2,10,70,N10_K2_M12_I70,1,8.522823394057202,8.522823333740234,7.077111076786071e-07
MILP,Gurobi,,2,10,71,N10_K2_M12_I71,1,7.458572802446446,7.458572387695312,5.560730837095065e-06
MILP,Gurobi,,2,10,72,N10_K2_M12_I72,1,7.479694902862383,7.479694902862383,0.0
MILP,Gurobi,,2,10,73,N10_K2_M12_I73,1,7.01715513399354,7.01715513399354,0.0
MILP,Gurobi,,2,10,74,N10_K2_M12_I74,1,5.807890500412073,5.807890500412073,0.0
MILP,Gurobi,,2,10,75,N10_K2_M12_I75,1,7.9478292917295486,7.947829246520996,5.688163529298711e-07
MILP,Gurobi,,2,10,76,N10_K2_M12_I76,1,8.019559096281892,8.019559096281892,0.0
MILP,Gurobi,,2,10,77,N10_K2_M12_I77,1,8.459384373101095,8.45938437310109,6.299596144544487e-14
MILP,Gurobi,,2,10,78,N10_K2_M12_I78,1,8.831343886646616,8.831343886646616,0.0
MILP,Gurobi,,2,10,79,N10_K2_M12_I79,1,8.23182583122965,8.23182583122965,0.0
MILP,Gurobi,,2,10,80,N10_K2_M12_I80,1,5.257834910713029,5.257834910713029,0.0
MILP,Gurobi,,2,10,81,N10_K2_M12_I81,1,7.612541609872746,7.612541609872746,0.0
MILP,Gurobi,,2,10,82,N10_K2_M12_I82,1,7.203159320341033,7.203159320341033,0.0
MILP,Gurobi,,2,10,83,N10_K2_M12_I83,1,8.1935886213527,8.193588256835938,4.448804970884618e-06
MILP,Gurobi,,2,10,84,N10_K2_M12_I84,1,7.379188156845037,7.379188156845037,0.0
MILP,Gurobi,,2,10,85,N10_K2_M12_I85,1,7.968207897442041,7.968207897442041,0.0
MILP,Gurobi,,2,10,86,N10_K2_M12_I86,1,7.702473376563734,7.702473376563734,0.0
MILP,Gurobi,,2,10,87,N10_K2_M12_I87,1,8.809186131124026,8.809186131124026,0.0
MILP,Gurobi,,2,10,88,N10_K2_M12_I88,1,8.711513061042144,8.711513061042144,0.0
MILP,Gurobi,,2,10,89,N10_K2_M12_I89,1,8.128272252387552,8.128272252387552,0.0
MILP,Gurobi,,2,10,90,N10_K2_M12_I90,1,6.534640775319687,6.534640775319687,0.0
MILP,Gurobi,,2,10,91,N10_K2_M12_I91,1,6.511601573058422,6.511601573058418,5.4559752143002134e-14
MILP,Gurobi,,2,10,92,N10_K2_M12_I92,1,7.884752178390036,7.884751796722412,4.840578797755889e-06
MILP,Gurobi,,2,10,93,N10_K2_M12_I93,1,7.780846594695564,7.780846594695557,9.131946339161847e-14
MILP,Gurobi,,2,10,94,N10_K2_M12_I94,1,9.288426180102768,9.288426180102768,0.0
MILP,Gurobi,,2,10,95,N10_K2_M12_I95,1,7.709523452022278,7.709522724151611,9.441189719434837e-06
MILP,Gurobi,,2,10,96,N10_K2_M12_I96,1,7.980658451646389,7.980658451646384,5.5645685445722645e-14
