category,method,mode,kappa,size,rpd_n,mean_rpd,sd_rpd,time_s,rpd_rank
MILP,Gurobi,,2,10,100.0,0.006779213538585809,0.06778662038249077,1151.4149200153352,1
MILP,Gurobi,,2,20,100.0,0.7505650850923105,1.4066239153640554,3600.012549993992,1
MILP,Gurobi,,2,50,100.0,46.22074314992418,25.825229548412267,3600.011353571415,17
MILP,Gurobi,,2,100,,,,3600.0,
MILP,Gurobi,,3,10,100.0,0.07153553071798749,0.42192376411497035,3296.316123328781,1
MILP,Gurobi,,3,20,100.0,3.6607120067381276,3.899507141189898,3600.029010000229,2
MILP,Gurobi,,3,50,93.0,107.89077491977935,40.918491883885544,3600.008730876446,17
MILP,Gurobi,,3,100,,,,3600.0,
Meta.,ALNS,,2,10,100.0,2.1295491241179563,1.3581264765603298,3.042397737503052,5
Meta.,IGA,,2,10,100.0,0.6265352424475199,0.6640054201937325,12.257626116275787,4
Meta.,DABC,,2,10,100.0,0.13251593967097444,0.18054495490140196,33.90496629476547,2
Meta.,DIWO,,2,10,100.0,0.19058749316780843,0.3451198901683069,74.36903870105743,3
Meta.,ALNS,,2,20,100.0,5.662802184216729,1.9928895234676416,26.037908256053925,7
Meta.,IGA,,2,20,100.0,2.4335229178916045,1.2320154485621824,96.81104296445848,2
Meta.,DABC,,2,20,100.0,5.356020757511727,1.6267887922615372,60.28946805000305,6
Meta.,DIWO,,2,20,100.0,3.7450672105498226,1.7716840218264864,131.12098240852356,4
Meta.,ALNS,,2,50,100.0,7.67057899583449,2.787725784247421,537.4275614619255,4
Meta.,IGA,,2,50,100.0,5.750877144919969,2.295195455900977,842.9486801624298,3
Meta.,DABC,,2,50,100.0,23.7100125592103,3.754266141368455,138.56141465902328,15
Meta.,DIWO,,2,50,100.0,24.846714495486022,4.361607575249547,298.44689148664474,16
Meta.,ALNS,,2,100,100.0,27.11989618259976,4.808651917537302,3600.0,11
Meta.,IGA,,2,100,100.0,36.68921762207361,5.250007093955643,3600.0,12
Meta.,DABC,,2,100,100.0,46.694980826988306,5.2163358882527,271.5247487425804,13
Meta.,DIWO,,2,100,100.0,57.10578605538418,6.701435922471499,574.8694716691971,15
Meta.,ALNS,,3,10,100.0,3.3721043411645155,2.1646722209101905,41.12988704442978,10
Meta.,IGA,,3,10,100.0,1.0066281391375724,0.8562868813677728,211.71767354011536,2
Meta.,DABC,,3,10,100.0,4.75722959175285,1.450232620484566,47.14978295564652,12
Meta.,DIWO,,3,10,100.0,3.128254423307717,1.3126997091669284,106.90503716468812,9
Meta.,ALNS,,3,20,100.0,6.35974272573484,2.607303281101042,389.0245298743248,10
Meta.,IGA,,3,20,100.0,3.742156722819738,1.8999998777007205,1595.6215394735336,4
Meta.,DABC,,3,20,100.0,22.438316089001628,3.7938905809939203,87.17223888635635,16
Meta.,DIWO,,3,20,100.0,18.853785105738456,3.55401284788972,191.2426837682724,15
Meta.,ALNS,,3,50,100.0,34.08580878997937,5.136181051428151,3600.0,13
Meta.,IGA,,3,50,100.0,37.03872051203499,5.886718387243805,3600.0,14
Meta.,DABC,,3,50,100.0,52.11735019683631,5.862383895321997,208.848424077034,16
Meta.,DIWO,,3,50,100.0,52.06120556241851,6.166547356886924,455.0169499516487,15
Meta.,ALNS,,3,100,99.0,111.6118348697526,11.659640765435576,3600.0,15
Meta.,IGA,,3,100,100.0,117.2739607391234,11.793136370919713,3600.0,16
