method,kappa,size,mechanism,decode,n_instances,objective_mean,objective_sd,distance_mean,tardiness_mean,id_degradation_percent_mean,rank
AM,3,20,D-AntiDistance,sample1280,100,17.660980935093,1.3595053126617715,24.098948554992997,11.223013315204799,21.60060734794425,5
AM,3,20,D-Bimodal,greedy,100,17.178712956907,2.7698054305538338,23.934002399446005,10.423423514362199,10.515266101976147,5
AM,3,20,D-Bimodal,sample1280,100,16.049062315224997,2.634451014403552,22.174685363764002,9.9234392666798,10.714851465193197,4
AM,3,20,D-IID,greedy,100,16.006364088054003,2.647723606046284,23.518306751248,8.49442142486875,2.86352186830502,3
AM,3,20,D-IID,sample1280,100,14.995828346308,2.717302499539938,22.056865539555996,7.934791153074651,3.444906026813544,4
AM,3,20,ID,greedy,100,15.707635272745,1.7007077242069837,23.641730594636,7.773539950847502,0.0,5
AM,3,20,ID,sample1280,100,14.621044416432001,1.4884259349645912,22.142495269774003,7.0995935630795,0.0,3
AM,3,20,Joint,greedy,100,16.436690070626994,2.67383720577872,23.952214622498996,8.921165518758299,5.784243389062786,5
AM,3,20,Joint,sample1280,100,15.268734636311002,2.5789552427720954,22.158416709898002,8.379052562713149,5.677047813640595,4
AM,3,20,P-Lognormal,greedy,100,16.229182969332,1.9895334627469101,23.952231597899996,8.5061343407629,3.5134468057244463,4
AM,3,20,P-Lognormal,sample1280,100,15.021815876964002,1.6798930880150797,22.387322998048006,7.656308755874001,2.8212300232243552,4
AM,3,20,P-TruncNormal,greedy,100,15.735504220727002,1.6219397834713347,23.879796104428998,7.5912123370153,0.4383097931641797,4
AM,3,20,P-TruncNormal,sample1280,100,14.613489193916001,1.382714679630518,22.259540843964,6.967437543867601,0.06790425047673794,3
AM,3,50,D-AntiDistance,greedy,100,29.106284754280995,1.7791015438395392,47.68894344330101,10.5236260652523,12.807817492676188,3
AM,3,50,D-AntiDistance,sample1280,100,26.922196447848997,1.4928986959106183,43.876989364627,9.967403531075698,13.991054155856032,4
AM,3,50,D-Bimodal,greedy,100,30.345355445740996,5.61573138237667,42.99808208465901,17.692628806829127,17.84543921970577,3
